0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
75.1,d_19190401,25,1.1,0,0,0,0,0,0,0,0,0
99.7,d_19190501,0.3,0,0,0,0,0,0,0,0,0,0
74.2,d_19190601,25.8,0,0,0,0,0,0,0,0,0,0
100,d_19190701,0,0,0,0,0,0,0,0,0,0,0
99.5,d_19190801,0.5,0,0,0,0,0,0,0,0,0,0
94.3,d_19190901,5.7,0,0,0,0,0,0,0,0,0,0
100,d_19191001,0,0,0,0,0,0,0,0,0,0,0
100,d_19191101,0,0,0,0,0,0,0,0,0,0,0
100,d_19191201,0,0,0,0,0,0,0,0,0,0,0
99.6,d_19200101,0.4,0,0,0,0,0,0,0,0,0,0
99.4,d_19200201,0.6,0,0,0,0,0,0,0,0,0,0
2.7,d_19200301,0,0,0,0,0,0,97.3,89.5,0,0,0
8.8,d_19200401,0,0,0,0,0,0,91.2,74.2,0,0,0
5.5,d_19200501,0,0,0,0,0,0,94.5,85.4,4.2,0,0
5.4,d_19200601,0,0,0,0,0,0,94.6,86,9.3,0,0
2.9,d_19200701,0,0,0,0,0,0,97.1,90.6,68.9,4.6,0
7.5,d_19200801,0,0,0,0,0,0,92.6,84.2,26.6,0.4,0
5.7,d_19200901,0,0,0,0,0,0,94.2,86.4,30.8,2,0
0,d_19201001,0,0,0,0,0,0,99.9,99.8,91.5,82.2,27.9
0,d_19201101,0,0,0,0,0,0,100,99.6,90.2,77.3,1.4
10.3,d_19201201,0,0,0,0,0,0,89.8,76.2,0,0,0
5.7,d_19210101,0,0,0,0,0,0,94.3,78.5,0,0,0
21.6,d_19210201,0,0,0,0,0,0,78.4,33.7,0,0,0
66.7,d_19210301,0,0,0,0,0,0,33.2,0.8,0,0,0
24.9,d_19210401,0,0,0,0,0,0,75.1,12.9,0,0,0
41.5,d_19210501,0,0,0,0,0,0,58.5,1.6,0,0,0
47.9,d_19210601,0,0,0,0,0,0,52,1.2,0,0,0
100,d_19210701,0,0,0,0,0,0,0,0,0,0,0
72.8,d_19210801,0,0,0,0,0,0,27.2,0,0,0,0
99.8,d_19210901,0,0,0,0,0,0,0.2,0,0,0,0
99.2,d_19211001,0,0,0,0,0,0,0.8,0,0,0,0
72.7,d_19211101,0,0,0,0,0,0,27.3,2,0,0,0
0,d_19211201,0,0,0,0,0,0,100,100,31.6,6.6,0
0,d_19220101,0,0,0,0,0,0,100,99.7,16.9,0,0
0,d_19220201,0,0,0,0,0,0,100,68.7,1.4,0,0
0,d_19220301,0,0,0,0,0,0,100,78.8,0,0,0
0,d_19220401,0,0,0,0,0,0,100,86.1,0.4,0,0
93.9,d_19220501,0,0,0,0,0,0,6.1,0,0,0,0
14.6,d_19220601,0,0,0,0,0,0,85.4,0,0,0,0
16.3,d_19220701,0,0,0,0,0,0,83.7,0,0,0,0
0,d_19220801,0,0,0,0,0,0,100.1,92.4,4.6,0,0
96.2,d_19220901,0,0,0,0,0,0,3.8,0,0,0,0
99.1,d_19221001,0,0,0,0,0,0,0.9,0,0,0,0
78.2,d_19221101,0,0,0,0,0,0,21.8,0,0,0,0
55.4,d_19221201,0,0,0,0,0,0,44.6,9.5,0,0,0
62,d_19230101,0,0,0,0,0,0,38,9.4,0,0,0
70.4,d_19230201,0,0,0,0,0,0,29.6,4.6,0,0,0
74.8,d_19230301,0,0,0,0,0,0,25.2,2.7,0,0,0
27.9,d_19230401,0,0,0,0,0,0,72.1,35.3,0,0,0
87.5,d_19230501,0,0,0,0,0,0,12.5,0,0,0,0
77.3,d_19230601,0,0,0,0,0,0,22.7,3,0,0,0
68.2,d_19230701,0,0,0,0,0,0,31.8,9.1,0,0,0
69.3,d_19230801,0,0,0,0,0,0,30.6,0.3,0,0,0
85.2,d_19230901,0,0,0,0,0,0,14.8,0,0,0,0
96.5,d_19231001,0,0,0,0,0,0,3.5,0,0,0,0
99.6,d_19231101,0,0,0,0,0,0,0.4,0,0,0,0
82.4,d_19231201,0,0,0,0,0,0,17.6,0,0,0,0
72.1,d_19240101,27.9,0.2,0,0,0,0,0,0,0,0,0
4.1,d_19240201,95.9,39.5,0.1,0,0,0,0,0,0,0,0
78.3,d_19240301,21.7,1.9,0,0,0,0,0,0,0,0,0
65.4,d_19240401,34.6,8.5,0,0,0,0,0,0,0,0,0
50.3,d_19240501,49.7,20.9,0.1,0,0,0,0,0,0,0,0
0,d_19240601,100,50,4.7,0,0,0,0,0,0,0,0
72.7,d_19240701,27.3,7.9,0,0,0,0,0,0,0,0,0
40.4,d_19240801,59.5,29.4,0.7,0,0,0,0,0,0,0,0
30.7,d_19240901,69.3,29.9,0.9,0,0,0,0,0,0,0,0
52.5,d_19241001,47.5,17.2,0,0,0,0,0,0,0,0,0
86.6,d_19241101,13.4,0,0,0,0,0,0,0,0,0,0
98.7,d_19241201,1.3,0,0,0,0,0,0,0,0,0,0
40.9,d_19250101,59.1,14,0,0,0,0,0,0,0,0,0
11,d_19250201,89,34.9,0,0,0,0,0,0,0,0,0
56.5,d_19250301,43.6,0.8,0,0,0,0,0,0,0,0,0
8.2,d_19250401,91.9,2.4,0,0,0,0,0,0,0,0,0
24,d_19250501,76,0,0,0,0,0,0,0,0,0,0
98,d_19250601,0,0,0,0,0,0,2,0,0,0,0
97.6,d_19250701,0,0,0,0,0,0,2.4,0,0,0,0
31.9,d_19250801,0,0,0,0,0,0,68.2,53.4,3,0,0
34.8,d_19250901,0,0,0,0,0,0,65.2,50.6,1.4,0,0
1.7,d_19251001,0,0,0,0,0,0,98.3,85.3,58.7,32,0
0.5,d_19251101,0,0,0,0,0,0,99.5,86.2,58.7,41.9,1.2
12.2,d_19251201,0,0,0,0,0,0,87.9,73.9,54.6,36.3,1
37.9,d_19260101,0.3,0,0,0,0,0,61.9,53.4,23.4,2.8,0
33.2,d_19260201,0,0,0,0,0,0,66.8,58.1,31.6,7.1,0
52.3,d_19260301,30.3,4.7,0,0,0,0,17.5,4.6,0,0,0
29.4,d_19260401,0,0,0,0,0,0,70.6,56.5,15.9,2.6,0
56.4,d_19260501,0,0,0,0,0,0,43.6,7.9,0,0,0
90.1,d_19260601,0,0,0,0,0,0,9.9,0,0,0,0
84.2,d_19260701,15.7,0.3,0,0,0,0,0,0,0,0,0
98.3,d_19260801,1.7,0,0,0,0,0,0,0,0,0,0
100,d_19260901,0,0,0,0,0,0,0,0,0,0,0
100,d_19261001,0,0,0,0,0,0,0,0,0,0,0
100,d_19261101,0,0,0,0,0,0,0,0,0,0,0
31.1,d_19261201,0,0,0,0,0,0,68.9,8,0,0,0
62,d_19270101,38,0,0,0,0,0,0,0,0,0,0
100,d_19270201,0,0,0,0,0,0,0,0,0,0,0
1.3,d_19270301,0,0,0,0,0,0,98.7,67.2,0,0,0
25.4,d_19270401,0,0,0,0,0,0,74.6,5.3,0,0,0
